Date,Happiness
1/1/2024,2
1/2/2024,2
1/3/2024,2
1/4/2024,2
1/5/2024,2
1/6/2024,2
1/7/2024,3
1/8/2024,2
1/9/2024,2
1/10/2024,2
1/11/2024,2
1/12/2024,1
1/13/2024,2
1/14/2024,3
1/15/2024,3
1/16/2024,2
1/17/2024,2
1/18/2024,3
1/19/2024,3
1/20/2024,2
1/21/2024,2
1/22/2024,3
1/23/2024,3
1/24/2024,2
1/25/2024,3
1/26/2024,2
1/27/2024,2
1/28/2024,3
1/29/2024,2
1/30/2024,2
1/31/2024,2
2/1/2024,2
2/2/2024,3
2/3/2024,2
2/4/2024,3
2/5/2024,2
2/6/2024,2
2/7/2024,2
2/8/2024,2
2/9/2024,3
2/10/2024,2
2/11/2024,2
2/12/2024,2
2/13/2024,2
2/14/2024,2
2/15/2024,2
2/16/2024,2
2/17/2024,2
2/18/2024,2
2/19/2024,3
2/20/2024,2
2/21/2024,2
2/22/2024,2
2/23/2024,2
2/24/2024,2
2/25/2024,3
2/26/2024,3
2/27/2024,2
2/28/2024,2
3/1/2024,2
3/2/2024,2
3/3/2024,2
3/4/2024,2
3/5/2024,1
3/6/2024,2
3/7/2024,2
3/8/2024,2
3/9/2024,2
3/10/2024,2
3/11/2024,2
3/12/2024,2
3/13/2024,2
3/14/2024,1
3/15/2024,2
3/16/2024,2
3/17/2024,2
3/18/2024,2
3/19/2024,2
3/20/2024,2
3/21/2024,2
3/22/2024,2
3/23/2024,2
3/24/2024,2
3/25/2024,3
3/26/2024,3
3/27/2024,2
3/28/2024,2
3/29/2024,2
3/30/2024,2
3/31/2024,2
4/1/2024,2
4/2/2024,2
4/3/2024,2
4/4/2024,2
4/5/2024,2
4/6/2024,3
4/7/2024,3
4/8/2024,3
4/9/2024,2
4/10/2024,2
